Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Journal of Internet Services and Information Security,2182-2069,2182-2077,550,USD
Revista GAMA,2182-8539,2182-8725,216,EUR
Revista CROMA,2182-8547,2182-8717,216,EUR
Media and Communication,,2183-2439,900,EUR
Politics and Governance,,2183-2463,900,EUR
Social Inclusion,,2183-2803,900,EUR
Street Art & Urban Creativity,2183-3869,2183-9956,50,EUR
Urban Planning,,2183-7635,900,EUR
Revista Portuguesa de Enfermagem de Reabilitação,,2184-3023,150,EUR
User Experience & Urban Creativity,2184-6189,2184-8149,250,EUR
Cadernos de Arte Pública,2184-6197,2184-8157,250,EUR
Journal of Physical Fitness and Sports Medicine,2186-8131,2186-8123,40000,JPY
International Journal of Development and Sustainability,,2186-8662,260,USD
Journal of Asian Ceramic Societies,,2187-0764,1200,USD
Advanced Biomedical Engineering,,2187-5219,300,USD
Juntendo Iji Zasshi,2187-9737,2188-2126,110961,JPY
Biophysics and Physicobiology,,2189-4779,35000,JPY
Fujita Medical Journal,2189-7247,2189-7255,120000,JPY
Journal of General and Family Medicine,,2189-7948,2500,USD
Environmental Sciences Europe,,2190-4715,1990,GBP
Earth System Dynamics,2190-4979,2190-4987,1470,EUR
Journal of Mathematics in Industry,,2190-5983,990,GBP
"Journal of Cachexia, Sarcopenia and Muscle",2190-5991,2190-6009,1850,EUR
OASIcs : OpenAccess Series in Informatics,2190-6807,,60,EUR
Journal of Mathematical Neuroscience,,2190-8567,1060,GBP
Heterocyclic Communications,,2191-0197,1500,EUR
AMB Express,,2191-0855,1690,GBP
ChemistryOpen,,2191-1363,2000,EUR
Health Economics Review,,2191-1991,1690,GBP
EJNMMI Research,,2191-219X,1890,GBP
Journal of Applied Volcanology,,2191-5040,1190,GBP
Nanotechnology Reviews,2191-9089,2191-9097,1000,EUR
Mechanical Sciences,2191-9151,2191-916X,710,EUR
Advances in Nonlinear Analysis,2191-9496,2191-950X,1000,EUR
Green Processing and Synthesis,2191-9542,2191-9550,1000,EUR
"Energy, Sustainability and Society",,2192-0567,1190,GBP
"Journal of Cloud Computing: Advances, Systems and Applications",,2192-113X,990,GBP
Human-Centric Computing and Information Sciences,,2192-1962,1290,GBP
International Journal of Engineering Pedagogy (iJEP),2192-4880,,150,EUR
Journal of Innovation and Entrepreneurship,,2192-5372,990,GBP
Global Spine Journal,2192-5682,2192-5690,1500,USD
Nonlinear Engineering,2192-8010,2192-8029,500,EUR
JIMD Reports,2192-8304,2192-8312,2000,USD
Nanophotonics,2192-8606,2192-8614,1950,EUR
Fossil Record,2193-0066,2193-0074,780,EUR
"Geoscientific Instrumentation, Methods and Data Systems",2193-0856,2193-0864,960,EUR
EPJ Data Science,,2193-1127,1190,GBP
Environmental Systems Research,,2193-2697,1490,GBP
Journal of Causal Inference,2193-3677,2193-3685,1000,EUR
Journal of Neurological Surgery Reports,2193-6358,2193-6366,2000,EUR
Agricultural and Food Economics,,2193-7532,1020,EUR
Crime Science,,2193-7680,990,GBP
Dermatology and Therapy,2193-8210,2190-9172,5250,EUR
Infectious Diseases and Therapy,2193-8229,2193-6382,5250,EUR
Pain and Therapy,2193-8237,2193-651X,6000,USD
Ophthalmology and Therapy,2193-8245,2193-6528,3650,GBP
Neurology and Therapy,2193-8253,2193-6536,3650,GBP
Cardiology and Therapy,2193-8261,2193-6544,4500,EUR
IZA Journal of Labor Economics,,2193-8997,1105,USD
IZA Journal of Labor Policy,,2193-9004,1105,USD
IZA Journal of Migration,,2193-9039,980,GBP
International Journal of Bipolar Disorders,,2194-7511,1690,GBP
European Journal of Pediatric Surgery Reports,2194-7619,2194-7627,1600,EUR
The Thoracic & Cardiovascular Surgeon Reports,2194-7635,2194-7643,2300,USD
Health & Justice,,2194-7899,990,GBP
Journal of Sensors and Sensor Systems,2194-8771,2194-878X,630,EUR
"City, Territory and Architecture",,2195-2701,690,GBP
European Journal of Futures Research,2195-4194,2195-2248,990,GBP
Geothermal Energy Science,2195-4771,2195-478X,800,EUR
Journal of Statistical Distributions and Applications,,2195-5832,860,GBP
EPJ Techniques and Instrumentation,,2195-7045,990,GBP
"Life Sciences, Society and Policy",,2195-7819,990,GBP
Geothermal Energy,,2195-9706,1190,GBP
EPJ Quantum Technology,,2196-0763,1290,GBP
Journal of Big Data,,2196-1115,1060,GBP
International Journal of Food Contamination,,2196-2804,1390,GBP
Geoscience Letters,,2196-4092,860,GBP
Applied Adhesion Science,,2196-4351,1190,GBP
Chemical and Biological Technologies in Agriculture,,2196-5641,1570,GBP
Earth Surface Dynamics,2196-6311,2196-632X,1560,EUR
International Journal of STEM Education,,2196-7822,1060,GBP
Journal of Experimental Orthopaedics,,2197-1153,1480,GBP
Injury Epidemiology,,2197-1714,1390,GBP
Triple Helix,,2197-1927,380,EUR
s u b  u r b a n : zeitschrift für kritische stadtforschung,2197-2567,,700,EUR
ROBOMECH Journal,,2197-4225,990,GBP
Intensive Care Medicine Experimental,,2197-425X,1690,GBP
Progress in Earth and Planetary Science,,2197-4284,1180,GBP
Computational Social Networks,,2197-4314,860,GBP
South Eastern European Journal of Public Health,,2197-5248,400,EUR
EJNMMI Physics,,2197-7364,1390,GBP
"International Journal of Recent Contributions from Engineering, Science & IT",,2197-8581,190,EUR
Geoenvironmental Disasters,,2197-8670,860,GBP
Fashion and Textiles,,2198-0802,1190,GBP
International Journal of Mechanical and Materials Engineering,,2198-2791,990,GBP
Advanced Science,,2198-3844,5000,USD
Brain Informatics,2198-4018,2198-4026,790,GBP
Rheumatology and Therapy,2198-6576,2198-6584,6000,USD
Surgical Case Reports,,2198-7793,980,GBP
Sports Medicine - Open,,2198-9761,2450,USD
"Renewables: Wind, Water, and Solar",,2198-994X,860,GBP
ScienceOpen Research,,2199-1006,800,USD
Drugs - Real World Outcomes,2199-1154,2198-9788,1990,EUR
Leibniz Transactions on Embedded Systems,,2199-2002,100,EUR
SOIL,2199-3971,2199-398X,1030,EUR
"Journal of Open Innovation: Technology, Market and Complexity",,2199-8531,800,CHF
Proceedings of the International Association of Hydrological Sciences,2199-8981,2199-899X,35,EUR
Pneumonia,,2200-6133,1690,GBP
Journal of Bone and Joint Infection,,2206-3552,1000,EUR
Nanotheranostics,,2206-7418,1000,AUD
The Journal of Health Design,,2206-785X,500,AUD
Australian Journal of Applied Linguistics,,2209-0959,225,USD
Intercultural Communication Education,,2209-1041,225,USD
Australasian Journal of Plastic Surgery,,2209-170X,500,AUD
Language Education & Assessment,,2209-3591,225,USD
Journal of Epidemiology and Global Health,2210-6006,2210-6014,750,EUR
IMA Fungus,2210-6340,2210-6359,1550,GBP
Analytical Cellular Pathology,2210-7177,2210-7185,1800,USD
Journal of Risk Analysis and Crisis Response (JRACR),2210-8491,2210-8505,350,EUR
Journal of Dutch Literature,,2211-0879,200,EUR
Cell Reports,,2211-1247,5200,USD
European Journal of Life Writing,,2211-243X,75,EUR
International Journal for Parasitology: Drugs and Drug Resistance,,2211-3207,1838,USD
Preventive Medicine Reports,2211-3355,,1700,USD
Results in Physics,,2211-3797,850,USD
African Journal of Emergency Medicine,,2211-419X,1200,USD
Energy Strategy Reviews,2211-467X,2211-4688,2500,USD
FEBS Open Bio,,2211-5463,1750,USD
Fascism,2211-6249,2211-6257,645,EUR
Results in Chemistry,,2211-7156,1000,USD
Medical Mycology Case Reports,,2211-7539,450,USD
International Journal of Networked and Distributed Computing (IJNDC),,2211-7946,350,EUR
Global Heart,,2211-8179,1175,GBP
Weather and Climate Extremes,,2212-0947,1500,USD
Climate Risk Management,,2212-0963,1750,USD
Journal of Bone Oncology,,2212-1374,1950,USD
A+BE: Architecture and the Built Environment,2212-3202,2214-7233,2000,EUR
Water Resources and Industry,,2212-3717,2500,USD
Arthroscopy Techniques,,2212-6287,975,USD
Molecular Metabolism,,2212-8778,2700,USD
Translational Proteomics,,2212-9634,1950,USD
EuPA Open Proteomics,,2212-9685,1700,USD
Respiratory Medicine Case Reports,,2213-0071,400,USD
Leukemia Research Reports,,2213-0489,2580,USD
NeuroImage: Clinical,,2213-1582,2600,USD
International Journal for Parasitology: Parasites and Wildlife,,2213-2244,1838,USD
Redox Biology,,2213-2317,2850,USD
Journal of Facade Design and Engineering,2213-302X,2213-3038,500,EUR
Epilepsy and Behavior Case Reports,,2213-3232,550,USD
Journal of Pediatric Surgery Case Reports,,2213-5766,550,USD
Genomics Data,,2213-5960,500,USD
Photoacoustics,,2213-5979,1500,USD
Stem Cell Reports,,2213-6711,3500,USD
The International Technology Management Review,2213-7149,1835-5269,350,EUR
Journal of Global Antimicrobial Resistance,2213-7165,2213-7173,1500,GBP
Advanced Modeling and Simulation in Engineering Sciences,,2213-7467,990,GBP
Journal of Magnesium and Alloys,,2213-9567,3000,USD
HeartRhythm Case Reports,,2214-0271,1050,USD
Metabolic Engineering Communications,,2214-0301,1800,USD
The Lancet Global Health,,2214-109X,5000,USD
International Journal of Africa Nursing Sciences,,2214-1391,1590,USD
Case Studies in Thermal Engineering,,2214-157X,700,USD
Sensing and Bio-Sensing Research,,2214-1804,800,USD
IDCases,,2214-2509,700,USD
Human Pathology: Case Reports,,2214-3300,850,USD
Molecular Genetics and Metabolism Reports,,2214-4269,1750,USD
Urology Case Reports,,2214-4420,650,USD
Case Studies in Construction Materials,,2214-5095,600,USD
Oral and Maxillofacial Surgery Cases,,2214-5419,500,USD
Journal of Hydrology: Regional Studies,,2214-5818,1800,USD
Comparative Migration Studies,,2214-594X,755,GBP
Journal of Clinical & Translational Endocrinology,,2214-6237,1850,USD
Journal of Clinical and Translational Endocrinology Case Reports,,2214-6245,910,USD
Current Plant Biology,,2214-6628,2040,USD
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",,2214-6873,1000,USD
Operations Research Perspectives,,2214-7160,1100,USD
Toxicology Reports,,2214-7500,1700,USD
Interdisciplinary Neurosurgery,,2214-7519,900,USD
Biomolecular Detection and Quantification,2214-7535,,1950,USD
Internet Interventions,,2214-7829,3110,USD
Translational Research in Anatomy,,2214-854X,1500,USD
Case Reports in Women's Health,,2214-9112,550,USD
Annals of Global Health,,2214-9996,1000,USD
Schizophrenia Research: Cognition,,2215-0013,2000,USD
MethodsX,,2215-0161,600,USD
Biotechnology Reports,,2215-017X,1850,USD
Ampersand,,2215-0390,1000,USD
Oditor,2217-401X,2683-3476,18000,RSD
Ekonomija: teorija i praksa,2217-5458,2620-0228,15000,RSD
TEM Journal,2217-8309,2217-8333,400,EUR
Metabolites,2218-1989,,1800,CHF
Universe,,2218-1997,1800,CHF
Atoms,,2218-2004,1400,CHF
Biomolecules,2218-273X,,2000,CHF
Open Veterinary Journal,2218-6050,,350,USD
Robotics,2218-6581,,1400,CHF
Evropejskij Issledovatelʹ,2219-8229,2224-0136,140,USD
Avtomobilʹnyj Transport (Harʹkov),2219-8342,,10,USD
Journal of Water Reuse and Desalination,2220-1319,2408-9370,1850,USD
"Фізичне виховання, спорт і культура здоров’я у сучасному суспільстві",2220-7481,2410-2156,30,USD
ISPRS International Journal of Geo-Information,2220-9964,,1400,CHF
Journal of Developmental Biology,2221-3759,,1600,CHF
Educational Research for Social Change,,2221-4070,4000,ZAR
Journal of University Medical & Dental College,2221-7827,2310-5542,7000,PKR
Problemi Ekonomiki,2222-0712,2311-1186,1500,UAH
Emerging Microbes and Infections,,2222-1751,2800,USD
Научный журнал Российского НИИ проблем мелиорации,,2222-1816,3940,RUB
Public and Municipal Finance,2222-1867,2222-1875,195,EUR
International Journal of Ophthalmology,2222-3959,2227-4898,500,USD
Bìznes Inform,2222-4459,2311-116X,500,UAH
Vìsnik Dnìpropetrovsʹkogo Unìversitetu Ekonomìki ta Prava ìmenì Alʹfreda Nobelâ: Serìâ Pedagogìka ì Psihologìâ.,2222-5501,,200,UAH
Vìsnik Dnìpropetrovsʹkogo Unìversitetu Ekonomìki ta Prava Imenì Alʹfreda Nobelâ: Serìâ Fìlologìčnì Nauki ,2222-551X,,2000,UAH
Journal of European Psychology Students,,2222-6931,250,EUR
"Naukovij Vìsnik Nacìonalʹnogo Unìversitetu Bìoresursìv ì Prirodokoristuvannâ Ukraïni. Serìâ: Ekonomìka, Agrarnij Menedžment ta Bìznes",2222-8586,2415-7627,525,UAH
Yesterday&Today,2223-0386,2309-9003,2200,ZAR
Наука і техніка Повітряних Сил Збройних Сил України,2223-456X,2518-1505,750,UAH
QScience Connect,,2223-506X,995,USD
Науковий вісник Інституту професійно-технічної освіти НАПН України: Професійна педагогіка,2223-5752,2617-1759,600,UAH
South African Journal of Childhood Education,2223-7674,2223-7682,399,ZAR
Plants,2223-7747,,1800,CHF
"African Journal of Hospitality, Tourism and Leisure",,2223-814X,3550,ZAR
African Journal of Disability,2223-9170,2226-7220,1300,ZAR
"International Journal of Agricultural Research, Innovation and Technology",,2224-0616,100,USD
Journal of Sensor and Actuator Networks,,2224-2708,1600,CHF
Проблеми Законності,2224-9281,2414-990X,1440,UAH
Econometrics,,2225-1146,1000,CHF
Climate,2225-1154,,1400,CHF
Vìsnik Priazovsʹkogo Deržgavnogo Tehničnogo Unìversitetu. Serìâ: Tehnìčnì Nauki,2225-6733,2519-271X,450,UAH
Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,3000,RUB
Розвиток методів управління та господарювання на транспорті,2226-1915,2415-3893,600,UAH
Agroindustrial Science,,2226-2989,200,PEN
Tehnologìčnij Audit ta Rezervi Virobnictva,2226-3780,2312-8372,70,EUR
Aerospace,,2226-4310,1400,CHF
Languages,,2226-471X,1200,CHF
Pharmacy,2226-4787,,1400,CHF
Journal of Urban Management,2226-5856,2589-0360,1200,USD
Mediamuzyka,,2226-6143,10000,RUB
Психологічні перспективи,2227-1376,2308-3743,900,UAH
Проблеми сучасної психології,2227-6246,2663-6956,2500,UAH
International Journal of Financial Studies,2227-7072,,1400,CHF
Technologies,,2227-7080,1400,CHF
Economies,2227-7099,,1400,CHF
Education Sciences,2227-7102,,1400,CHF
Antropologìčnì Vimìri Fìlosofsʹkih Doslìdžen',2227-7242,,3751,UAH
Proteomes,2227-7382,,1600,CHF
Mathematics,,2227-7390,1600,CHF
Healthcare,,2227-9032,1600,CHF
Chemosensors,,2227-9040,1600,CHF
Biomedicines,,2227-9059,2000,CHF
Children,,2227-9067,1600,CHF
Chromatography,,2227-9075,350,CHF
Risks,,2227-9091,1400,CHF
Informatics,,2227-9709,1400,CHF
Processes,,2227-9717,2000,CHF
Ta̓ammulāt-i Falsafī,2228-5253,2588-3615,1100000,IRR
Cell Journal,2228-5806,2228-5814,15000000,IRR
Journal of Agricultural Machinery,2228-6829,2423-3943,1000000,IRR
Journal of Medical Signals and Sensors,,2228-7477,5000000,IRR
Bihdāsht-i Mavādd-i Ghaz̠āyī,2228-7647,2476-6968,2000000,IRR
Avicenna Journal of Phytomedicine,2228-7930,2228-7949,3000000,IRR
Language Testing in Asia,,2229-0443,860,GBP
Healthline,2229-337X,2320-1525,3500,INR
Journal of Pathology Informatics,2229-5089,2153-3539,300,USD
Veterinary Medicine : Research and Reports,,2230-2034,1780,USD
Psoriasis : Targets and Therapy,,2230-326X,1780,USD
Nursing : Research and Reviews,,2230-522X,1780,USD
Integrated Pharmacy Research and Practice,,2230-5254,1780,USD
Journal of International Clinical Dental Research Organization,2231-0754,2231-5357,3500,INR
Journal of Medical and Allied Sciences,2231-1696,2231-170X,70,USD
Journal of Advanced Pharmaceutical Technology & Research,2231-4040,0976-2094,500,USD
BJ Kines: National Journal of Basic & Applied Sciences,2231-6140,2395-7859,2500,INR
Global Journal Al-Thaqafah,2232-0474,2232-0482,200,USD
International Journal of Islamic Thought,2232-1314,,200,USD
Diabetes & Metabolism Journal,2233-6079,2233-6087,500,USD
Environmental Health and Toxicology,,2233-6567,160,USD
치위생과학회지,,2233-7679,300000,KRW
Annals of Rehabilitation Medicine,2234-0645,2234-0653,200000,KRW
Archives of Aesthetic Plastic Surgery,2234-0831,2288-9337,60,USD
Fisheries and Aquatic Sciences,,2234-1757,600000,KRW
Clinical Endoscopy,2234-2400,2234-2443,242,USD
Archives of Plastic Surgery,2234-6163,2234-6171,70,USD
"Animal Systematics, Evolution and Diversity",2234-6953,2234-8190,200,USD
Journal of the Korean Institute of Electromagnetic Engineering and Science,2234-8409,2234-8395,150000,KRW
Journal of International Council on Electrical Engineering,,2234-8972,1000,USD
Frontiers in Oncology,,2234-943X,2950,USD
Journal of Comorbidity,,2235-042X,1500,USD
Liver Cancer,2235-1795,1664-5553,2250,CHF
Frontiers in Cellular and Infection Microbiology,,2235-2988,2950,USD
Neotropical Biology and Conservation,,2236-3777,300,EUR
Revista GEINTEC,,2237-0722,100,BRL
Journal of Materials Research and Technology,2238-7854,2214-0697,1100,USD
Italian Journal of Food Safety,2239-7132,,400,EUR
Farmeconomia: Health Economics and Therapeutic Pathways,,2240-256X,1485,EUR
Journal of Molecular Biochemistry,,2241-0090,700,EUR
PRIME,,2241-1534,60,EUR
"Engineering, Technology & Applied Science Research",2241-4487,1792-8036,300,EUR
BioInvasions Records,,2242-1300,300,EUR
International Journal of Circumpolar Health,,2242-3982,600,EUR
Silva Fennica,,2242-4075,800,EUR
Nordic Journal of Working Life Studies,,2245-0157,350,EUR
Journal of Applied Engineering Sciences,2247-3769,2284-7197,80,EUR
Journal of Physical Education and Sport,2247-8051,2247-806X,80,EUR
Journal of Family Medicine and Primary Care,2249-4863,2278-7135,450,USD
Journal of Clinical and Diagnostic Research,2249-782X,0973-709X,275,USD
PANACEA JOURNAL OF MEDICAL SCIENCES,2249-8176,2348-7682,4000,INR
Journal of Orthopaedic Case Reports,2250-0685,2321-3817,250,USD
Iranian Journal of Public Health,2251-6085,2251-6093,6000000,IRR
مدیریت آب و آبیاری,2251-6298,2382-9931,2000000,IRR
Journal of Biomedical Physics and Engineering,,2251-7200,20000000,IRR
Iranian Journal of Neonatology,2251-7510,2322-2158,50,USD
پژوهش‌های علوم شناختی و رفتاری,2251-7642,2345-3524,3500000,IRR
زیست‌شناسی کاربردی,2251-7901,2538-2187,1500000,IRR
زبان و ادب فارسی,2251-7979,2676-6779,3000000,IRR
Recherches en Langue et Littérature Françaises,2251-7987,2588-7041,2000000,IRR
Ṭibb-i Tavānbakhshī,2251-8401,2252-0414,2500000,IRR
Tulīd va Farāvarī-i Maḥṣūlāt-i Zirā̒ī va Bāghī,2251-8517,2251-8525,1000000,IRR
Iranian Journal of Veterinary Medicine,2251-8894,2252-0554,4000000,IRR
Applied Research on English Language,2252-0198,2322-5343,2500000,IRR
Pizhūhish va Nuāvarī dar ̒Ulūm va Sanāyi̒-i Ghaz̠āyī,2252-0937,2538-2357,150000,IRR
Jurnal Social Economic of Agriculture,2252-3820,2579-3268,500000,IDR
Jurnal Teknologi Industri Pertanian,,2252-3901,75000,IDR
"Journal Polingua: Scientific Journal of Linguistics, Literature and Education",,2252-4797,200000,IDR
International Journal of Renewable Energy Development,2252-4940,,150,USD
Jurnal Pendidikan Kedokteran Indonesia,2252-5084,2654-5810,30,USD
Ta'dibuna,2252-5793,2622-7215,750000,IDR
JESS (Journal of Educational Social Studies),2252-6390,,500000,IDR
Journal of Primary Education,2252-6404,,500000,IDR
Journal of Research and Educational Research Evaluation,2252-6420,,500000,IDR
JPES (Journal of Physical Education and Sports),2252-648X,,500000,IDR
Unnes Journal of Biology Education,2252-6579,,400000,IDR
Catharsis,2252-6900,,500000,IDR
Innovative Journal of Curriculum and Educational Technology,2252-7125,,500000,IDR
Jurnal Pendidikan Fisika,2252-732X,2301-7651,150,USD
Indonesian EFL Journal,2252-7427,2541-3635,150,USD
Industria: Jurnal Teknologi dan Manajemen Agroindustri,2252-7877,2549-3892,500000,IDR
APMBA (Asia Pacific Management and Business Application),2252-8997,,2500000,IDR
Insight: Jurnal Bimbingan dan Konseling,2252-9055,2597-8039,1000000,IDR
ImmunoTargets and Therapy,,2253-1556,1780,USD
Smart Homecare Technology and TeleHealth,,2253-1564,1780,USD
Oncolytic Virotherapy,,2253-1572,1780,USD
Research and Reports in Urology,,2253-2447,1958,USD
International Journal of Clinical Transfusion Medicine,,2253-3249,1780,USD
Journal of Hepatocellular Carcinoma,,2253-5969,1780,USD
3C Empresa,,2254-3376,146,EUR
Sport TK,2254-4070,2340-8812,150,EUR
3C Tecnología,,2254-4143,120,EUR
3C TIC,,2254-6529,120,EUR
Baltic Journal of Modern Computing,2255-8942,2255-8950,1000,EUR
Baltic Journal of Economic Studies,2256-0742,2256-0963,1000,EUR
Mise au Point,,2261-9623,35,EUR
Manufacturing Review,,2265-4224,900,EUR
EPJ Applied Metamaterials,,2272-2394,1500,EUR
National Journal of Clinical Anatomy,2277-4025,2321-2780,200,USD
 Indian Journal of Neonatal Medicine and Research,2277-8527,2455-6890,2000,INR
International Journal of Anatomy Radiology and Surgery,2277-8543,2455-6874,2280,INR
National Journal of Laboratory Medicine,2277-8551,2455-6882,2000,INR
Advanced Biomedical Research,,2277-9175,300,USD
International Journal of Environmental Health Engineering ,,2277-9183,3000,INR
Journal of Education and Health Promotion,2277-9531,2319-6440,150,USD
Global Journal of Medicine and Public Health ,,2277-9604,160,USD
Journal of Orthodontic Science,2278-1897,2278-0203,400,USD
Medica Innovatica,2278-7526,2320-7582,3000,INR
Euromediterranean Biomedical Journal,,2279-7165,50,EUR
European Journal of Remote Sensing,,2279-7254,700,USD
Historia et Ius,,2279-7416,30,EUR
Journal of Public Health Research,2279-9028,2279-9036,500,EUR
Plant Sociology,2280-1855,2704-6192,350,EUR
Journal of Applied Biomaterials & Functional Materials,,2280-8000,1500,USD
Clinical Management Issues,,2283-3137,700,EUR
Global & Regional Health Technology Assessment,2284-2403,2283-5733,1500,EUR
Senses and Sciences,,2284-2489,250,EUR
European Journal of Case Reports in Internal Medicine,,2284-2594,183,EUR
Romanian Journal of Laboratory Medicine,,2284-5623,100,EUR
Current Trends in Natural Sciences,,2284-953X,40,EUR
USV Annals of Economics and Public Administration,2285-3332,2344-3847,45,EUR
"Journal of Economic Development, Environment and People",,2285-3642,100,EUR
Scientific Papers: Series B. Horticulture,2285-5653,2286-1580,100,EUR
Cross-Cultural Management Journal ,,2286-0452,100,EUR
Romanian Journal of Transport Infrastructure,,2286-2218,100,EUR
Journal of Sport and Kinetic Movement,2286-3524,,80,EUR
Korean Journal of Women Health Nursing,2287-1640,2093-7695,400,USD
한국치위생학회지 ,2287-1705,2288-2294,310000,KRW
Clinical and Molecular Hepatology,2287-2728,2287-285X,42000,KRW
Child Health Nursing Research,2287-9110,2287-9129,600,USD
Annals of Clinical Microbiology,2288-0585,2288-6850,250000,KRW
"Journal of Asian Finance, Economics and Business",2288-4637,2288-4645,500,USD
Asian Journal for Public Opinion Research,,2288-6168,200,USD
Maxillofacial Plastic and Reconstructive Surgery,,2288-8586,1290,GBP
Canadian Journal of Gastroenterology and Hepatology,2291-2789,2291-2797,2100,USD
JMIR mHealth and uHealth,,2291-5222,2500,USD
JMIR Serious Games,,2291-9279,1900,USD
JMIR Medical Informatics,,2291-9694,1900,USD
JMIR Human Factors,,2292-9495,1750,USD
Frontline Learning Research,,2295-3159,200,EUR
Frontiers in Pediatrics,,2296-2360,2950,USD
Frontiers in Public Health,,2296-2565,2490,USD
Frontiers in Chemistry,,2296-2646,2950,USD
Dermatopathology,,2296-3529,1000,CHF
Frontiers in Bioengineering and Biotechnology,,2296-4185,2950,USD
Frontiers in Physics,,2296-424X,2490,USD
Frontiers in Energy Research,,2296-598X,2490,USD
Frontiers in Cell and Developmental Biology,,2296-634X,2950,USD
Frontiers in Earth Science,,2296-6463,2950,USD
Frontiers in Environmental Science,,2296-665X,2490,USD
Frontiers in Ecology and Evolution,,2296-701X,2490,USD
Frontiers in Marine Science,,2296-7745,2950,USD
Frontiers in Materials,,2296-8016,2950,USD
Frontiers in Medicine,,2296-858X,2490,USD
Frontiers in Nutrition,,2296-861X,2490,USD
Frontiers in Surgery,,2296-875X,2490,USD
Frontiers in Molecular Biosciences,,2296-889X,2490,USD
Frontiers in Robotics and AI,,2296-9144,1900,USD
Kidney Diseases,2296-9381,2296-9357,1500,CHF
Inflammatory Intestinal Diseases,2296-9403,2296-9365,1500,CHF
Case Reports in Nephrology and Dialysis,,2296-9705,680,CHF
Frontiers in Astronomy and Space Sciences,,2296-987X,1150,USD
Frontiers in Cardiovascular Medicine,,2297-055X,2490,USD
Frontiers in Veterinary Science,,2297-1769,2950,USD
Frontiers in Digital Humanities,,2297-2668,950,USD
Frontiers in Mechanical Engineering,,2297-3079,1150,USD
Frontiers in Built Environment,,2297-3362,1900,USD
Frontiers in Applied Mathematics and Statistics,,2297-4687,1150,USD
Challenges in Sustainability,,2297-6477,156,CHF
Organic Farming,,2297-6485,156,CHF
Frontiers in Sociology,,2297-7775,950,USD
Separations,,2297-8739,1800,CHF
Frontiers in Communication,,2297-900X,950,USD
Management Systems in Production Engineering,2299-0461,,73,EUR
Management,,2299-193X,800,PLN
Analysis and Geometry in Metric Spaces,,2299-3274,750,EUR
Budownictwo o Zoptymalizowanym Potencjale Energetycznym,2299-8535,2544-963X,430,PLN
Journal of Ecological Engineering,,2299-8993,200,EUR
Polish Journal of Entomology ,,2299-9884,300,PLN
Autex Research Journal,,2300-0929,50,EUR
Bulletin of the Polish Academy of Sciences: Technical Sciences,,2300-1917,1230,PLN
Dependence Modeling,,2300-2298,1000,EUR
Archives of Electrical Engineering,,2300-2506,200,EUR
Bulletin of the Veterinary Institute in Pulawy,,2300-3235,250,EUR
Soil Science Annual,,2300-4975,100,EUR
Physical Activity Review,,2300-5076,180,EUR
Humanities and Social Sciences,2300-5327,2300-9918,210,PLN
Open Archaeology,,2300-6560,500,EUR
Open Theology,,2300-6579,1000,EUR
Complex Manifolds,,2300-7443,1000,EUR
Special Matrices,,2300-7451,1000,EUR
International Agrophysics,,2300-8725,600,EUR
Open Linguistics,,2300-9969,500,EUR
Jurnal Manajemen,2301-4628,,800000,IDR
Retorika,2301-4768,2614-2716,300000,IDR
Positron,2301-4970,2549-936X,200000,IDR
Persona,2301-5985,2615-5168,500000,IDR
Psikopedagogia: Jurnal Bimbingan dan Konseling,2301-6167,2528-7206,300000,IDR
Turbo: Jurnal Program Studi Teknik Mesin,2301-6663,2477-250X,300000,IDR
Seloka: Jurnal Pendidikan Bahasa dan Sastra Indonesia,2301-6744,,500000,IDR
Journal of Economic Education,2301-7341,,500000,IDR
English Review: Journal of English Education,2301-7554,2541-3643,150,USD
Tadris: Jurnal Keguruan dan Ilmu Tarbiyah,2301-7562,2579-7964,1000000,IDR
Indonesia Medicus Veterinus,2301-7848,,8,USD
Jurnal Sisfokom,2301-7988,2581-0588,300000,IDR
Andalas Journal of International Studies,2301-8208,2355-9500,800000,IDR
Jurnal Kebidanan,2301-8372,2549-7081,100000,IDR
Global Medical & Health Communication,2301-9123,2460-5441,1000000,IDR
Jurnal Nasional Teknik Elektro,2302-2949,2407-7267,1500000,IDR
Indonesian Journal of Computer Science,2302-4364,2549-7286,200000,IDR
Journal of Pure and Applied Chemistry Research,2302-4690,,400000,IDR
Economica,2302-5190,,150000,IDR
Jurnal Teknik Pertanian Lampung,2302-559X,2549-0818,400000,IDR
Metamorfosa: Journal of Biological Sciences,2302-5697,,23,USD
Jurnal Pembangunan Pendidikan Fondasi dan Aplikasi,2302-6383,,200000,IDR
Jurnal Ranah Komunikasi,2302-8106,2656-4718,50,USD
International Journal of Islamic Khazanah,2302-9366,2302-9781,500000,IDR
Scientiae Educatia: Jurnal Pendidikan Sains,2303-1530,2527-7596,600000,IDR
EQUILIBRIUM: Jurnal Ilmiah Ekonomi dan Pembelajarannya,2303-1565,2502-1575,300000,IDR
Jurnal Ilmiah Pendidikan Fisika Al-Biruni,2303-1832,2503-023X,250000,IDR
